time,open,high,low,close,MA,MA №1,MA №2,MA №3,MA №4,Developing Poc,Developing VA High,Developing VA Low,Volume,Volume MA,RSI,Histogram,MACD,Signal
1954-03-31T22:00:00Z,2.82,2.82,2.82,2.82,NaN,2.6824999999999997,2.615,2.0474,NaN,NaN,NaN,NaN,0,0,55.04822547130916,-0.0013794340628676127,0.21476486417331841,0.21614429823618603
1954-05-31T22:00:00Z,2.82,2.82,2.82,2.82,NaN,2.6949999999999994,2.62,2.0684,NaN,NaN,NaN,NaN,0,0,55.04822547130916,-0.0022756962765709543,0.21329967789047233,0.21557537416704328
1954-06-30T22:00:00Z,2.82,2.82,2.82,2.82,NaN,2.707499999999999,2.625,2.0894,NaN,NaN,NaN,NaN,0,0,55.04822547130916,-0.0032910354517201312,0.2114615798523931,0.21475261530411324
1954-08-31T22:00:00Z,2.82,2.82,2.82,2.82,NaN,2.7199999999999998,2.63,2.1106,NaN,NaN,NaN,NaN,0,0,55.04822547130916,-0.0043666992130425575,0.20929424128781005,0.2136609405008526
1954-09-30T22:00:00Z,2.82,2.82,2.82,2.82,NaN,2.732499999999999,2.6349999999999993,2.1313999999999997,NaN,NaN,NaN,NaN,0,0,55.04822547130915,-0.005458701535271893,0.20683756358176275,0.21229626511703464
1954-10-31T22:00:00Z,2.82,2.82,2.82,2.82,NaN,2.744999999999999,2.64,2.1501,NaN,NaN,NaN,NaN,0,0,55.04822547130916,-0.006534631809993252,0.20412797535454308,0.21066260716453633
1954-11-30T22:00:00Z,2.82,2.82,2.82,2.82,NaN,2.7574999999999994,2.645,2.1702,NaN,NaN,NaN,NaN,0,0,55.04822547130915,-0.007571120179296453,0.20119870694041575,0.2087698271197122
1955-01-31T22:00:00Z,2.82,2.82,2.82,2.82,NaN,2.769999999999999,2.65,2.1919999999999997,NaN,NaN,NaN,NaN,0,0,55.04822547130915,-0.008551826527756518,0.19808004396001655,0.20663187048777307
1955-02-28T22:00:00Z,2.82,2.82,2.82,2.82,NaN,2.7824999999999993,2.6549999999999994,2.2046,NaN,NaN,NaN,NaN,0,0,55.04822547130916,-0.009465847146856526,0.19479956155420242,0.20426540870105894
1955-03-31T22:00:00Z,2.82,2.82,2.82,2.82,NaN,2.794999999999999,2.6599999999999993,2.2129999999999996,NaN,NaN,NaN,NaN,0,0,55.04822547130916,-0.010306454376570268,0.1913823407303461,0.20168879510691637
1955-05-31T22:00:00Z,2.82,2.82,2.82,2.82,NaN,2.807499999999999,2.6649999999999996,2.2211,NaN,NaN,NaN,NaN,0,0,55.04822547130916,-0.011070101554348871,0.1878511681639803,0.19892126971832916
1955-06-30T22:00:00Z,2.82,2.82,2.82,2.82,NaN,2.8199999999999994,2.6699999999999995,2.2186,NaN,NaN,NaN,NaN,0,0,55.04822547130916,-0.011755639215768998,0.1842267206986179,0.1959823599143869
